trial,step,timestamp,config_name,config_description,eef_pos_x,eef_pos_y,eef_pos_z,eef_quat_x,eef_quat_y,eef_quat_z,eef_quat_w,gripper_pos,cube_1_pos_x,cube_1_pos_y,cube_1_pos_z,cube_1_quat_x,cube_1_quat_y,cube_1_quat_z,cube_1_quat_w,cube_2_pos_x,cube_2_pos_y,cube_2_pos_z,cube_2_quat_x,cube_2_quat_y,cube_2_quat_z,cube_2_quat_w,cube_3_pos_x,cube_3_pos_y,cube_3_pos_z,cube_3_quat_x,cube_3_quat_y,cube_3_quat_z,cube_3_quat_w,gripper_to_cube_1_x,gripper_to_cube_1_y,gripper_to_cube_1_z,gripper_to_cube_1_dist,gripper_to_cube_2_x,gripper_to_cube_2_y,gripper_to_cube_2_z,gripper_to_cube_2_dist,gripper_to_cube_3_x,gripper_to_cube_3_y,gripper_to_cube_3_z,gripper_to_cube_3_dist,cube_1_to_cube_2_x,cube_1_to_cube_2_y,cube_1_to_cube_2_z,cube_1_to_cube_2_dist,cube_2_to_cube_3_x,cube_2_to_cube_3_y,cube_2_to_cube_3_z,cube_2_to_cube_3_dist,cube_1_to_cube_3_x,cube_1_to_cube_3_y,cube_1_to_cube_3_z,cube_1_to_cube_3_dist,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7
0,0,0.0,config_00_random,Random configuration 1,0.45777565,-0.02276323,0.2508706,-0.010767995,0.999498,0.015484528,0.025457557,0.040545635,0.59529626,0.0019283725,0.017170716,-0.0128859505,-0.017443843,0.03155927,0.99926656,0.5438712,0.113888636,0.016909156,0.018387536,-0.005726383,0.010444341,0.99976,0.44911057,-0.24349555,0.022644687,-0.000325267,-0.009901548,-0.004603717,0.9999403,0.13837814,0.022898616,-0.23376031,0.27261096,0.0869531,0.13485888,-0.23402187,0.28374988,-0.007807553,-0.22252531,-0.22828634,0.3188936,0.05142504,-0.11196026,0.00026156008,0.12320594,0.09476066,0.3573842,-0.0057355314,0.36977825,0.1461857,0.24542393,-0.0054739714,0.2857151,0.47411263,0.008738236,0.35449043,0.0054807635,0.9997839,0.018868852,0.014582256,1.0001922
0,1,0.05,config_00_random,Random configuration 1,0.45952055,-0.019823091,0.26967993,-0.008254003,0.9996414,0.016755696,0.019186448,0.0404385,0.6029113,0.0074110925,0.040837973,-0.016138852,0.0065747923,-0.005405048,0.9998336,0.55082303,0.09527561,0.042284448,0.003745935,-0.0056370106,0.0061228992,0.99995834,0.44900468,-0.24838473,0.044968847,-0.0014651768,0.006124275,0.008024425,0.99994797,0.14192802,0.025618888,-0.22950646,0.27105924,0.08983976,0.11348341,-0.22805999,0.270113,-0.011978596,-0.23017693,-0.2253756,0.32236478,0.05208826,-0.08786452,-0.0014464743,0.10215406,0.10181835,0.34366035,-0.0026843995,0.35843635,0.15390661,0.25579584,-0.004130874,0.29855624,0.4828032,0.010519664,0.374461,0.00784949,0.9995554,0.017801143,0.011818423,0.99979717
0,2,0.1,config_00_random,Random configuration 1,0.47272754,-0.012009777,0.307741,-0.005020337,0.9993648,0.02016876,0.028949277,0.03974678,0.5987574,-0.002552968,0.04836937,-0.010941194,0.008674112,-0.00337303,0.99989676,0.5517107,0.09812272,0.0526983,-0.0035735108,-0.00013643966,0.000910562,0.9999932,0.44843036,-0.24638435,0.046783846,-0.0065519037,0.0047754133,-0.017382039,0.99981594,0.12459561,0.00978875,-0.2583869,0.28702557,0.07754895,0.11046444,-0.254058,0.28768334,-0.025731415,-0.23404263,-0.25997245,0.3507474,0.04704666,-0.100675695,-0.004328929,0.111210264,0.103280365,0.34450707,0.0059144534,0.35970396,0.15032703,0.24383138,0.0015855245,0.28645152,0.49977827,0.020592466,0.39534914,0.0077092787,0.99961597,0.01238649,0.011264393,1.0001138
0,3,0.15000000000000002,config_00_random,Random configuration 1,0.4887578,-0.0028832813,0.34426618,-0.0017638173,0.99887574,0.02285245,0.041496452,0.04010686,0.5970576,-0.0015162778,0.059793964,0.01514435,-0.013284682,0.021338005,0.9995693,0.5371148,0.09646106,0.05271193,-0.0009794778,-0.00578539,-0.011255577,0.9999195,0.4562749,-0.25515255,0.052040163,0.0019225514,0.0013481984,9.0589645e-05,0.9999973,0.10898283,0.003467821,-0.2848755,0.30503008,0.04904005,0.10144515,-0.29195756,0.3129461,-0.031799853,-0.25016844,-0.29262933,0.38629964,0.059942782,-0.09797733,0.007082034,0.115077585,0.0808399,0.3516136,0.0006717667,0.36078757,0.14078268,0.25363627,0.0077538006,0.29019174,0.5083623,0.029641647,0.41237873,0.007585635,0.99956065,0.007961883,0.01139619,0.9999914
0,4,0.2,config_00_random,Random configuration 1,0.4986317,0.004502527,0.37571612,0.0007153753,0.9981041,0.025928905,0.055815767,0.039408647,0.5930288,0.004919181,0.059997745,-0.0030657868,-0.012775288,0.002977274,0.9999093,0.55135727,0.09984608,0.058981802,0.012351892,-0.016361138,-0.022171583,0.99954396,0.45960528,-0.2507941,0.04246892,-0.00912091,0.009585179,0.0024822445,0.9999094,0.09470528,0.0013078521,-0.31727612,0.33111167,0.05303377,0.096234754,-0.31829205,0.33672473,-0.038718224,-0.25440544,-0.33480495,0.4222743,0.041671515,-0.0949269,0.0010159425,0.10367576,0.09175199,0.35064018,0.016512882,0.3628218,0.1334235,0.25571328,0.017528825,0.28896084,0.51366246,0.036805257,0.42293218,0.0072519705,0.9996395,0.0033345027,0.011411005,1.0001774
0,5,0.25,config_00_random,Random configuration 1,0.5061384,0.012721703,0.4018325,-0.00018929508,0.99781966,0.025662955,0.060806215,0.04065037,0.6025584,0.0033137838,0.044478435,-0.0032773982,-0.012574812,0.007492879,0.9998875,0.55008453,0.101496555,0.0577998,0.013755982,0.0017092065,-0.00180847,0.99990237,0.44800428,-0.25487137,0.047118053,0.008992631,0.010640234,0.0014168886,0.9999019,0.09794742,-0.009465766,-0.35798466,0.37126312,0.045473576,0.088717006,-0.34466332,0.35879153,-0.05660668,-0.26765093,-0.35534507,0.4484545,0.052473843,-0.09818277,-0.013321366,0.11211966,0.102080256,0.35636792,0.010681748,0.37085384,0.1545541,0.25818515,-0.0026396178,0.3009211,0.51739836,0.042783212,0.42958334,0.0066773156,0.99971956,0.0003637583,0.010764878,1.0002229
0,6,0.30000000000000004,config_00_random,Random configuration 1,0.5096886,0.020279482,0.4207577,0.003150584,0.9978083,0.02834197,0.059711706,0.04004303,0.60360795,0.0012217677,0.049205523,0.010842891,0.013491901,0.013726175,0.999756,0.5434017,0.09783453,0.047655735,0.00437946,0.0051111584,-0.004262645,0.99996823,0.45423445,-0.26049465,0.05065006,0.005648608,-0.018158127,0.014976389,0.9997071,0.095428765,-0.020604797,-0.37124246,0.3838648,0.03522253,0.07600796,-0.37279224,0.38208884,-0.053944737,-0.2823212,-0.36979792,0.46836504,0.060206234,-0.09661276,0.0015497878,0.113847345,0.08916727,0.35832918,-0.002994325,0.36926898,0.1493735,0.26171643,-0.0014445372,0.30134702,0.52026534,0.047881994,0.43431,0.005935901,0.99968314,-0.0018441512,0.010304472,1.000439
0,7,0.35000000000000003,config_00_random,Random configuration 1,0.51088333,0.029905291,0.43294907,0.0042047943,0.9978625,0.028705139,0.058554873,0.039470583,0.60038525,0.0006337622,0.04805029,-0.018645441,0.016795604,-0.002542145,0.9996819,0.5522476,0.10613426,0.04603633,-0.013170967,-0.0059412844,-0.004077207,0.9998873,0.44643056,-0.2433268,0.049557976,0.00374662,0.00756694,-0.0034266894,0.9999585,0.09001857,-0.02963265,-0.38453108,0.39603734,0.041880906,0.07586785,-0.38654503,0.39614013,-0.063936114,-0.27359322,-0.38302338,0.4750242,0.048137665,-0.1055005,0.0020139627,0.11598123,0.10581702,0.34946105,-0.0035216473,0.36514747,0.15395468,0.24396056,-0.0015076846,0.2884806,0.52367765,0.05180224,0.43829995,0.00546906,0.9997473,-0.003176573,0.01002699,1.0006045
0,8,0.4,config_00_random,Random configuration 1,0.5115228,0.03733752,0.4407138,0.004751051,0.9981579,0.027409254,0.053917333,0.03977842,0.61390835,-0.0014690197,0.04967554,0.0074706636,-0.00788068,-0.0010170442,0.9999405,0.5506219,0.101624265,0.04983754,-0.024562111,-0.004707799,0.006926543,0.99966323,0.4496879,-0.25007686,0.04526492,-0.0014105261,0.00550403,-0.022454437,0.9997318,0.10149932,-0.039265856,-0.39103252,0.40589452,0.038212895,0.063827425,-0.39087054,0.39788684,-0.06272113,-0.2878737,-0.39544314,0.4931333,0.06328642,-0.10309328,-0.0001620017,0.120968685,0.10093403,0.35170114,0.0045726225,0.3659266,0.16422045,0.24860784,0.004410621,0.29798266,0.5260872,0.055271514,0.44096282,0.005246102,1.0006912,-0.004023528,0.00892715,1.0003362
0,9,0.45,config_00_random,Random configuration 1,0.5140401,0.045779597,0.44603333,0.004288063,0.99841994,0.026423331,0.049406804,0.039332878,0.60004455,0.0050409227,0.04505467,0.012014895,0.0023468728,-0.012456365,0.9998474,0.5464861,0.094554655,0.051203065,0.00069197157,-0.004761165,0.0063062557,0.9999686,0.4487437,-0.25256327,0.047718357,-0.00069049414,-0.013849806,-0.008378951,0.9998687,0.085635126,-0.03919625,-0.4008182,0.41173407,0.032076657,0.050317485,-0.3946698,0.39915538,-0.06566572,-0.29680043,-0.39815453,0.50092864,0.05355847,-0.089513734,-0.006148394,0.10449412,0.09774238,0.34711793,0.0034847073,0.36063358,0.15130085,0.25760418,-0.0026636869,0.29876238,0.5280226,0.05813912,0.44264436,0.0052318494,0.99972963,-0.0032274069,0.0079313675,1.0003461
